id;app_type;app_code;app_name
1;holistic Walks;synthesizing payment PCI;Auto Loan Account
2;calculate Maldives bleeding-edge;Ecuador Specialist Paradigm;input RSS
3;24/365;solid state;Computers optimizing
4;Ville matrix;Hat Product;Surinam Dollar
5;multi-byte Soap dynamic;Avon;orchid solid state Implementation
6;web-enabled JSON Awesome Concrete Shoes;Syrian Arab Republic;6th generation California
7;wireless info-mediaries Unbranded;Sports;Small
8;calculate;CSS;optimal
9;quantify Chief override;wireless Gorgeous Handcrafted Granite Keyboard;Facilitator
10;Chair Salad Polarised;Multi-lateral payment;Public-key
