id;product_id;type;name;price;guarantee;fix_time
1;19861;enable;Practical;90966;Tasty;action-items
2;59525;Table;Strategist Rhode Island;25694;Dynamic;Concrete calculate driver
3;66847;Auto Loan Account;capacitor Accountability Licensed;77410;Re-contextualized open system Nebraska;bypassing Kroon Beauty
4;85472;Refined Concrete Bacon Developer Ball;Sports;38762;invoice Mouse;Shoes algorithm
5;20160;override withdrawal monetize;Chips Generic convergence;5747;Configuration Rubber;Flats Metrics
6;2732;firewall enterprise Cotton;Refined Rubber;44157;Personal Loan Account;capacitor Solutions
7;75563;Burkina Faso;Bedfordshire bleeding-edge;19158;European Unit of Account 9(E.U.A.-9);SDR withdrawal Personal Loan Account
8;56012;Principal Home Loan Account;Road Honduras Beauty;44573;stable;Oklahoma
9;75715;Consultant Licensed Plastic Salad SCSI;Saint Kitts and Nevis;7820;benchmark capacitor bypassing;Falkland Islands Pound syndicate withdrawal
10;45073;Serbian Dinar attitude;Strategist cross-platform;32513;Alabama;clicks-and-mortar grid-enabled
