id;name;logo;des
1;Proactive Home Loan Account parse;Designer virtual Internal;India
2;Concrete;Soft;array
3;Cotton Business-focused;International;invoice
4;Steel Generic Frozen Gloves;Interactions Marketing;redundant Shoes Industrial
5;Refined Lake;artificial intelligence primary Unbranded;Expanded
6;magenta;challenge Clothing;Radial
7;Directives holistic hard drive;customer loyalty Factors;hack online
8;Circles mesh Practical;Gorgeous Cotton Chips Gloves sky blue;Iowa
9;Legacy;Tasty Guyana Dollar applications;Wooden
10;integrate;Swiss Franc Leone;Tennessee Awesome
