id;category_id;category_name;brand_id;brand_name;name;status;type;price;old_price;new_price;discount;ratings_count;ratings_value;availibility_count;cart_count;weight
1;23324;Checking Account;62682;website calculating;cross-platform support;navigate wireless Chilean Peso Unidades de fomento;reboot;76808;92572;63950;22076;70131;46955;86953;62989;28913
2;6602;deposit Division Rustic Steel Soap;66812;networks infomediaries;partnerships throughput;Union transmitting;New Zealand;30312;49167;20811;4189;60561;70316;51217;18327;32770
3;54278;Ball Australian Dollar;4184;Business-focused;Computer Oklahoma Identity;throughput;Village;80588;95487;35518;58781;89275;20505;80377;2024;85535
4;90726;New Mexico Implementation Steel;54741;solutions;homogeneous withdrawal;invoice;Liaison;22423;16073;14900;47207;88935;46377;5902;8723;20319
5;26845;pixel Gorgeous Rubber Cheese quantifying;16934;rich multi-byte online;virtual open-source hacking;efficient;Buckinghamshire;94611;8835;44109;86012;25082;95618;19864;94541;80676
6;71562;sticky brand solution;2593;Massachusetts Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;Plastic convergence;back-end Automotive internet solution;93272;51985;99958;6909;788;16003;67875;67286;61811
7;95388;transmit Arkansas clicks-and-mortar;62245;IB;Martinique Industrial Rustic;magenta;transitional;33918;80631;85001;10899;41751;89292;95162;1542;26258
8;54007;Trinidad and Tobago Dollar Square Home Loan Account;6366;Coordinator Bedfordshire;capacity invoice e-services;Security Ramp Ball;project Assistant;8484;49594;46693;28155;71391;24373;97064;64262;94512
9;76795;Borders moratorium;12734;copying;transmit;deposit global Sausages;value-added;25664;60568;53416;42536;67105;10558;606;19729;53349
10;20046;Engineer protocol;60454;index;Home Loan Account killer;Wooden Belize Dollar;Pike;55532;74020;59827;62161;67848;99880;94542;26850;43887
